CustomerID,Gender,Age,AnnualIncome,SpendingScore
1,Female,31,94592,97
2,Male,22,27314,28
3,Male,57,91395,52
4,Male,25,27164,21
5,Male,64,106062,76
6,Male,33,78618,20
7,Male,51,135392,67
8,Female,21,31029,7
9,Female,29,31763,24
10,Female,35,35054,8
11,Female,27,38089,25
12,Male,34,105203,52
13,Female,32,45229,26
14,Male,45,69714,43
15,Male,31,63283,37
16,Male,64,102431,96
17,Male,30,35147,13
18,Male,33,122504,64
19,Male,33,66290,24
20,Female,43,121245,91
21,Male,29,70071,36
22,Female,35,38394,13
23,Male,53,132350,64
24,Male,35,144686,98
25,Female,23,25008,30
26,Female,54,88326,74
27,Male,65,112953,50
28,Female,51,114973,57
29,Female,39,50365,20
30,Female,62,103416,56
31,Female,42,146540,59
32,Female,34,37674,5
33,Female,28,41276,43
34,Male,25,21898,23
35,Male,20,35924,29
36,Female,35,35574,10
37,Male,43,135461,84
38,Female,55,120857,92
39,Male,39,73919,27
40,Male,28,22098,5
41,Male,30,108864,54
42,Male,19,22208,15
43,Female,47,111195,92
44,Female,22,37669,28
45,Male,31,35498,11
46,Female,29,34124,18
47,Male,46,43550,26
48,Male,50,62236,26
49,Male,35,26232,19
50,Male,33,52025,49
51,Male,35,34520,8
52,Male,35,81934,98
53,Male,33,33317,20
54,Male,30,43842,44
55,Female,50,57380,49
56,Male,46,76422,51
57,Male,24,29722,6
58,Female,33,121104,53
59,Male,40,149615,53
60,Male,20,22245,26
61,Male,43,47856,35
62,Female,56,90745,92
63,Male,46,53386,40
64,Female,29,65938,39
65,Male,25,44754,49
66,Female,24,37617,21
67,Female,20,31436,12
68,Female,39,50338,54
69,Female,30,149329,92
70,Male,38,93577,66
71,Female,22,38128,13
72,Female,51,107607,63
73,Male,46,144032,53
74,Male,47,135518,52
75,Male,45,48573,36
76,Female,65,137912,95
77,Male,37,81267,54
78,Male,53,84722,87
79,Female,26,48352,39
80,Male,24,31724,26
81,Female,52,93473,99
82,Male,45,100257,60
83,Female,30,41624,41
84,Male,47,112527,60
85,Male,40,42537,34
86,Male,34,62915,34
87,Female,30,26328,15
88,Female,29,29146,25
89,Female,31,123404,57
90,Male,26,39024,6
91,Female,52,136959,96
92,Female,41,79728,27
93,Female,46,104914,52
94,Male,35,37036,26
95,Female,27,68265,41
96,Female,49,96334,82
97,Female,50,133528,75
98,Female,42,96683,76
99,Male,49,102810,75
100,Female,31,58803,47
101,Female,39,68952,33
102,Female,35,102241,68
103,Male,27,27696,12
104,Female,19,20800,12
105,Male,59,89545,76
106,Male,61,130328,75
107,Female,21,20181,29
108,Male,34,25763,19
109,Male,37,112662,79
110,Female,42,74808,58
111,Female,38,73081,55
112,Male,32,35554,13
113,Male,63,116347,81
114,Male,27,68827,38
115,Male,35,62010,54
116,Male,25,24942,17
117,Female,34,108043,76
118,Male,39,75560,46
119,Male,30,33767,29
120,Female,60,129857,50
121,Male,38,65558,54
122,Female,33,54380,47
123,Female,28,32742,26
124,Male,59,101632,58
125,Male,43,78790,21
126,Male,38,136179,79
127,Male,30,28524,15
128,Female,35,61420,44
129,Male,27,56532,50
130,Male,52,86826,64
131,Male,31,85276,65
132,Female,25,24993,9
133,Female,43,94993,79
134,Male,44,50996,58
135,Male,21,30192,23
136,Female,46,77735,44
137,Male,34,105995,87
138,Male,21,29882,30
139,Male,38,74913,43
140,Female,30,124725,76
141,Female,29,34205,25
142,Female,57,100052,61
143,Female,59,143372,77
144,Female,27,56088,37
145,Male,30,35227,15
146,Male,30,61300,51
147,Female,35,56931,37
148,Male,63,81330,62
149,Male,33,33317,22
150,Male,61,142402,78
151,Male,25,29641,17
152,Female,36,78112,50
153,Female,35,76070,42
154,Male,33,60094,34
155,Male,50,105242,57
156,Female,33,27090,13
157,Female,27,26360,12
158,Male,18,29904,27
159,Female,26,42982,55
160,Male,61,96551,56
161,Female,60,117268,80
162,Female,26,52082,36
163,Male,30,22141,20
164,Female,39,87026,59
165,Female,21,28132,22
166,Female,63,109581,74
167,Female,43,59487,47
168,Male,36,87894,98
169,Male,46,107659,92
170,Male,23,27859,22
171,Female,31,20087,19
172,Female,32,42139,38
173,Male,34,139510,93
174,Female,46,78652,32
175,Male,25,37844,25
176,Male,27,49321,23
177,Female,48,78996,56
178,Female,39,48149,39
179,Female,42,72798,51
180,Female,19,39596,18
181,Male,31,112816,55
182,Male,47,82719,86
183,Female,34,35417,25
184,Female,43,51894,47
185,Female,29,35401,18
186,Female,30,46855,41
187,Female,48,144942,92
188,Female,59,84809,55
189,Male,28,61186,45
190,Male,56,140552,53
191,Female,61,127419,90
192,Male,26,26670,22
193,Male,47,68712,51
194,Male,25,39951,27
195,Female,25,76099,55
196,Male,21,27362,19
197,Female,61,100181,95
198,Female,56,115838,80
199,Female,35,34967,9
200,Male,34,39640,28
201,Female,31,29052,15
202,Female,27,29268,23
203,Female,35,34632,20
204,Female,49,76170,54
205,Female,31,61088,35
206,Female,19,33460,15
207,Male,54,129968,92
208,Female,29,42426,52
209,Female,21,34427,21
210,Male,31,24723,25
211,Female,26,35384,15
212,Female,51,90527,93
213,Male,42,71978,22
214,Male,25,29416,28
215,Male,49,46451,60
216,Male,47,50902,39
217,Female,19,30629,14
218,Female,29,68225,35
219,Male,40,103600,61
220,Male,45,130140,81
221,Female,26,35110,19
222,Male,59,81231,68
223,Female,29,34474,23
224,Female,46,135615,79
225,Male,33,32605,8
226,Female,36,77481,56
227,Female,31,118696,92
228,Female,43,40530,23
229,Male,44,55081,42
230,Male,46,104920,93
231,Female,32,92735,69
232,Male,29,38991,28
233,Female,28,29670,28
234,Female,22,26579,30
235,Female,47,145771,60
236,Male,48,59342,41
237,Female,29,44934,34
238,Female,35,127942,100
239,Female,35,28665,8
240,Female,43,57181,44
241,Female,33,27661,5
242,Female,34,109015,90
243,Male,56,119608,57
244,Male,27,21219,20
245,Female,35,27693,9
246,Female,46,64314,54
247,Male,56,100253,91
248,Female,33,66746,22
249,Female,32,34528,12
250,Female,35,32036,25
251,Male,26,33046,11
252,Male,46,46007,33
253,Male,25,30928,9
254,Male,24,38160,23
255,Male,22,30766,30
256,Female,29,49482,54
257,Male,18,23602,9
258,Male,43,55593,40
259,Female,19,28695,9
260,Female,34,94896,80
261,Female,43,73635,26
262,Female,32,109038,96
263,Female,26,42041,50
264,Male,40,47075,48
265,Male,22,30554,7
266,Female,42,78362,40
267,Female,48,149541,79
268,Male,35,23749,28
269,Female,32,69593,46
270,Female,38,66131,26
271,Female,46,60481,36
272,Male,20,35540,7
273,Female,21,34151,28
274,Female,19,38231,23
275,Female,56,96021,72
276,Female,48,86743,88
277,Male,43,46789,52
278,Female,25,35800,8
279,Female,37,128176,98
280,Male,57,109643,85
281,Female,31,115054,61
282,Male,51,120499,72
283,Male,30,24694,7
284,Male,35,84018,97
285,Male,39,67514,41
286,Male,48,60423,40
287,Male,23,25098,29
288,Female,47,90693,78
289,Female,39,79785,46
290,Female,21,36788,16
291,Female,33,29281,21
292,Male,30,27225,24
293,Male,27,26698,11
294,Male,35,58969,27
295,Female,30,68223,28
296,Female,62,110161,85
297,Male,19,33011,18
298,Female,35,45102,56
299,Male,56,133008,68
300,Female,35,41366,30
301,Male,35,127428,77
302,Male,30,34276,21
303,Male,48,60334,41
304,Male,27,51018,52
305,Female,42,146840,99
306,Male,32,49679,26
307,Male,30,52928,58
308,Female,41,89876,99
309,Female,49,76944,57
310,Female,50,122363,59
311,Female,32,35365,25
312,Male,26,78759,42
313,Male,39,70260,22
314,Female,27,58813,25
315,Female,42,78032,22
316,Female,50,104672,88
317,Male,33,99773,78
318,Male,41,45526,31
319,Male,32,34344,21
320,Female,34,64435,44
321,Female,26,79183,60
322,Female,21,30803,22
323,Male,48,56514,58
324,Female,43,45341,29
325,Male,29,65687,58
326,Male,37,76629,41
327,Female,35,148995,91
328,Female,31,127425,73
329,Female,28,27018,29
330,Male,22,27423,9
331,Male,41,46628,54
332,Female,38,124140,88
333,Male,23,25316,27
334,Female,32,137366,76
335,Female,58,111133,89
336,Male,44,138841,84
337,Female,31,70737,43
338,Female,49,58466,44
339,Male,22,26543,13
340,Male,53,142991,85
341,Male,37,147621,68
342,Male,32,28938,21
343,Female,32,46010,48
344,Female,19,33595,17
345,Male,20,32653,16
346,Female,21,30442,27
347,Female,19,24508,14
348,Male,60,98191,78
349,Male,26,20622,11
350,Female,57,149176,57
351,Male,21,29868,6
352,Female,27,69957,27
353,Male,62,82154,86
354,Male,48,98818,77
355,Female,45,126244,86
356,Male,34,22805,16
357,Male,62,146496,85
358,Female,26,70810,60
359,Female,48,56623,21
360,Male,25,31298,28
361,Female,38,123583,52
362,Female,41,124374,99
363,Male,41,142722,58
364,Male,32,139988,68
365,Female,19,26536,15
366,Female,64,132196,80
367,Male,27,26262,16
368,Female,47,123506,57
369,Female,48,66215,48
370,Female,40,52243,51
371,Female,35,114959,96
372,Female,23,34110,22
373,Female,27,46723,40
374,Male,44,69223,47
375,Male,52,138183,78
376,Male,57,126210,67
377,Male,29,33310,21
378,Male,32,24678,6
379,Female,29,27733,16
380,Female,39,84244,93
381,Male,39,64380,24
382,Female,55,128096,70
383,Male,18,23717,28
384,Male,37,73930,55
385,Male,47,57058,48
386,Male,61,117431,62
387,Female,32,22426,10
388,Male,29,30472,27
389,Male,49,118058,60
390,Male,32,73341,27
391,Female,33,27757,5
392,Male,59,128353,85
393,Female,34,91300,69
394,Female,63,142739,76
395,Male,38,89666,70
396,Female,46,70528,53
397,Male,23,38065,29
398,Male,26,72955,27
399,Male,30,50790,40
400,Female,34,74006,25
401,Female,26,38049,9
402,Male,35,149924,82
403,Female,40,100210,92
404,Male,31,85399,55
405,Female,43,114688,99
406,Female,61,83969,90
407,Female,60,119596,65
408,Male,27,69723,23
409,Male,40,67238,49
410,Female,29,79758,40
411,Female,55,125268,58
412,Female,50,93917,65
413,Male,32,28764,12
414,Female,27,21658,17
415,Female,28,25233,23
416,Female,33,25221,21
417,Male,40,60220,21
418,Male,39,73124,35
419,Female,33,126254,53
420,Female,45,79158,50
421,Male,36,81071,77
422,Female,49,63971,45
423,Male,19,33126,23
424,Female,34,76256,24
425,Male,65,139028,67
426,Female,30,23168,16
427,Female,39,127920,62
428,Male,32,85276,52
429,Female,60,123652,83
430,Female,34,39865,9
431,Female,40,121750,75
432,Female,62,124089,82
433,Female,60,119294,51
434,Female,38,47183,57
435,Male,60,83492,66
436,Female,60,86731,60
437,Male,19,27936,23
438,Female,32,20620,15
439,Female,24,33531,18
440,Male,38,88163,83
441,Female,60,122604,83
442,Female,39,51349,54
443,Female,46,126437,89
444,Female,26,28077,22
445,Male,27,29752,27
446,Female,50,144094,80
447,Female,48,115842,57
448,Female,49,62618,29
449,Female,20,29425,16
450,Male,60,113612,63
451,Female,65,115537,94
452,Male,25,23579,12
453,Male,44,149604,90
454,Female,31,23283,15
455,Male,18,24504,22
456,Female,40,71175,32
457,Male,45,58704,23
458,Male,64,110437,97
459,Female,23,33693,6
460,Male,48,52210,38
461,Female,21,29777,15
462,Male,41,75605,51
463,Male,47,141344,62
464,Female,48,50649,49
465,Female,30,104405,97
466,Male,46,77210,32
467,Female,57,133148,82
468,Male,21,33134,10
469,Female,32,61207,20
470,Female,39,55435,37
471,Male,48,78172,56
472,Male,47,63563,35
473,Male,59,95495,69
474,Male,47,72933,39
475,Male,53,118671,89
476,Female,33,24376,9
477,Female,56,128971,94
478,Male,45,108627,93
479,Female,63,138556,95
480,Male,21,38486,6
481,Female,40,99641,70
482,Female,33,26730,7
483,Female,22,34858,21
484,Female,26,76956,55
485,Female,31,120392,75
486,Female,20,27140,6
487,Male,42,44178,23
488,Male,34,42079,46
489,Female,29,33774,17
490,Male,27,64618,54
491,Female,37,125582,61
492,Male,44,96691,50
493,Female,46,70343,54
494,Female,44,129712,65
495,Male,33,50166,32
496,Male,18,33737,12
497,Male,19,23306,19
498,Male,30,21449,19
499,Female,33,108477,58
500,Female,28,38877,23
501,Male,22,29888,26
502,Male,33,59693,23
503,Male,65,135994,81
504,Female,50,64979,53
505,Female,56,134568,59
506,Female,49,52050,54
507,Male,27,27384,27
508,Female,42,43776,46
509,Male,38,149467,74
510,Female,35,53325,25
511,Male,42,46059,32
512,Male,46,64718,58
513,Female,35,26165,11
514,Male,27,30910,5
515,Male,33,23844,12
516,Female,42,55684,40
517,Female,42,70556,42
518,Female,41,63569,51
519,Female,28,35384,11
520,Male,26,67127,56
521,Female,31,99126,66
522,Male,31,49988,41
523,Female,32,77341,51
524,Female,48,72022,51
525,Female,23,31540,9
526,Male,19,37764,21
527,Male,18,21589,18
528,Male,34,110334,95
529,Female,34,27167,19
530,Male,33,35833,5
531,Female,30,133914,51
532,Female,31,117576,82
533,Male,21,23506,21
534,Female,34,26289,13
535,Female,27,66011,43
536,Female,32,77027,34
537,Female,32,90566,55
538,Male,42,64718,50
539,Female,40,81238,55
540,Male,43,61710,26
541,Male,33,26927,13
542,Male,35,29187,23
543,Male,18,30305,11
544,Male,34,132205,69
545,Female,54,111519,93
546,Female,50,49171,25
547,Male,31,23200,12
548,Female,49,79660,59
549,Female,45,41941,37
550,Female,36,54951,55
551,Female,46,52172,57
552,Male,25,29678,27
553,Male,22,28780,17
554,Male,50,131068,73
555,Female,27,20170,19
556,Male,29,46699,25
557,Female,42,69415,55
558,Male,20,20860,16
559,Female,54,122523,50
560,Male,49,65414,25
561,Female,40,148302,93
562,Female,26,24549,14
563,Female,27,49563,30
564,Male,34,67597,50
565,Female,32,56495,60
566,Male,59,105630,56
567,Female,37,40443,41
568,Male,35,68850,47
569,Female,44,61015,32
570,Female,37,51641,40
571,Female,45,144357,70
572,Male,36,65751,27
573,Female,65,103583,51
574,Male,58,107479,68
575,Female,29,72722,60
576,Female,22,28279,27
577,Female,39,44847,58
578,Female,64,132534,82
579,Male,53,84818,94
580,Male,29,28134,10
581,Female,51,132378,100
582,Male,21,20345,13
583,Male,65,147999,87
584,Male,37,64518,49
585,Female,40,41609,26
586,Female,28,45626,29
587,Female,39,62483,33
588,Female,28,71205,48
589,Male,34,44402,22
590,Male,21,31241,26
591,Male,63,111970,61
592,Male,38,76690,49
593,Female,30,52088,60
594,Male,48,41913,59
595,Male,38,78810,44
596,Male,43,108153,67
597,Female,64,93336,61
598,Female,39,52915,27
599,Female,63,144157,90
600,Male,55,130939,87
601,Male,39,63067,59
602,Male,35,118986,93
603,Male,32,47724,39
604,Female,22,32232,21
605,Female,29,79087,56
606,Male,40,52173,60
607,Male,61,101871,68
608,Male,32,30308,24
609,Male,40,40628,28
610,Female,41,76803,51
611,Female,56,144451,95
612,Male,27,50961,56
613,Male,19,29571,13
614,Female,40,117836,99
615,Male,65,144921,82
616,Female,47,94969,99
617,Male,58,85453,84
618,Female,48,46711,35
619,Male,26,34736,16
620,Male,49,47693,35
621,Male,57,125957,60
622,Female,19,26781,23
623,Female,64,116842,60
624,Female,48,118356,86
625,Female,38,92481,98
626,Male,22,29087,27
627,Female,28,24792,12
628,Female,43,49317,60
629,Male,54,134293,78
630,Female,55,92202,82
631,Female,59,128374,81
632,Female,35,80324,96
633,Female,34,126952,100
634,Female,24,34078,20
635,Male,35,58585,55
636,Male,51,143614,93
637,Male,32,23262,5
638,Female,32,34460,5
639,Female,27,24322,10
640,Female,26,31810,7
641,Female,33,101695,75
642,Male,57,110689,91
643,Female,30,92475,63
644,Female,25,24348,21
645,Female,28,20264,8
646,Male,60,97324,54
647,Male,48,45854,26
648,Female,34,64088,28
649,Male,20,24681,21
650,Male,58,101511,72
651,Female,56,99840,89
652,Male,21,22840,9
653,Female,52,130335,77
654,Male,26,28119,25
655,Male,27,38133,29
656,Male,43,119537,83
